,h,p,c
0,0.8169342999043449,0.782553929330247,0.8544743915537968
1,0.8194761610699138,0.7420849797364232,0.9148888583633368
2,0.811276858937352,0.7494771873550321,0.8841840607793786
3,0.8160124696212157,0.8655550469852489,0.7718342750433722
4,0.7582851215650643,0.6480288414695173,0.9137517681748449
5,0.7525726942756895,0.8282215502928785,0.6895866035769753
6,0.7446815955138634,0.5932212838213728,1.0
7,0.7945017164838825,0.7180815242760459,0.8891248001087817
8,0.7523895817062507,0.9525748791006498,0.6217315877527614
9,0.7510244768661846,0.6374949309356067,0.9137517681748449
