,h,p,c
0,0.7990487514863258,0.979591836734694,0.6746987951807228
1,0.6435886340689456,0.9797979797979798,0.47916666666666663
2,0.609037021792749,0.9895833333333333,0.43988018827556696
3,0.6785935798391631,0.9925925925925926,0.5155145326001571
4,0.6298657424206404,0.9880952380952381,0.46227134146341464
5,0.9161793372319689,1.0,0.8453237410071943
6,0.6717530879400163,0.95679012345679,0.5175653594771241
7,0.492388862907316,0.9880382775119617,0.3278985507246377
8,0.7342990143811927,0.9576719576719577,0.5954198473282443
9,0.7881371726772901,0.9476190476190476,0.6746031746031746
10,0.7074805865600623,0.9473684210526316,0.5645325203252032
11,0.7282285979115674,0.9393939393939394,0.594574780058651
12,0.7433381067126464,0.9494949494949495,0.6107339449541285
13,0.7772360322915834,0.9664082687338501,0.65
14,0.7657262132964532,0.9652173913043478,0.6345726970033296
15,0.6044612001256675,0.9629629629629629,0.44047619047619047
16,0.7884144099987747,0.9713541666666666,0.6634615384615384
17,0.5942381492892277,0.9583333333333334,0.4306306306306306
18,0.9455029220316434,0.9433962264150944,0.9476190476190476
19,0.7469119105581101,0.9743589743589745,0.6055555555555555
20,0.7679263058725009,0.9357142857142857,0.6511627906976745
21,0.7141808467775318,0.9392857142857143,0.5761124121779859
22,0.7130328134261356,0.9353233830845772,0.5761128411797033
23,0.569737492642731,0.9619047619047618,0.40472972972972976
24,0.6068124474348192,0.975,0.44047619047619047
25,0.7499333292305167,0.974074074074074,0.6096491228070176
26,0.6451490187847624,0.9962121212121212,0.4770408163265306
27,0.6192318319977895,0.9642857142857143,0.4560439560439561
28,0.8027952776748372,0.9714285714285715,0.6840490797546013
29,0.6495852391658269,0.9800000000000001,0.48579545454545453
30,0.6578784435660002,0.9488636363636364,0.5034782608695653
31,0.7445255474452555,1.0,0.5930232558139534
32,0.6546410967982438,0.9732142857142857,0.4931972789115646
33,0.7547827213804836,0.9970760233918128,0.6072247706422018
34,0.7583937483997462,0.9692982456140351,0.6228673287496818
