,h,p,c
0,0.8961655917531158,0.8243860084704538,0.9993037827802275
1,0.896429548886472,0.8246070291867315,0.9988340458608628
2,0.9091128415222844,0.8433343350904068,0.9981378286410902
3,0.901246377339541,0.8315470169119299,0.9981378286410902
4,0.891355019934153,0.8167084943301449,0.9981378286410902
5,0.8978723027769996,0.8272631981570501,0.9981960214960561
6,0.8976656007678341,0.8274497527204688,0.9981960214960561
7,0.8881207994808219,0.8111399498381017,0.9981378286410902
8,0.8947482787664884,0.8220432796747444,0.9982506875113272
9,0.9028032614141733,0.8344944816285207,0.9981960214960561
