,p,c,h
count,35.0,35.0,35.0
mean,0.854306392978386,0.9550911147834532,0.891326814803397
std,0.14069630638170325,0.08724462202638421,0.09274161079556756
min,0.5,0.6762295081967213,0.6666666666666666
25%,0.8267726798748696,0.9684684684684685,0.854558431080494
50%,0.9066666666666666,1.0,0.9097222222222222
75%,0.9472263868065967,1.0,0.962165988044585
max,0.9889624724061811,1.0,0.9917355371900827
