,h,p,c,l1,l2,fold_time,param_count
0,0.9073236346809941,0.8675102876703694,0.950967133821757,64.73655913978494,6608.887096774193,86,54
1,0.8842336619647011,0.839633487628092,0.9338378418381866,63.059139784946225,5894.059139784947,76,54
2,0.8307941539843617,0.9354211130511592,0.7472177614385391,63.99032258064516,5771.649462365591,68,54
3,0.9108713538590367,0.8454934797342611,0.9872072613684557,67.62903225806451,7203.532258064516,72,54
4,0.9044767489331469,0.8331315383333611,0.989185651923348,68.75806451612904,7222.951612903225,63,54
5,0.9123926234262291,0.8481410356699207,0.9871769885791317,68.125,7267.5625,52,54
6,0.9125005576362551,0.8483275902333395,0.9871769885791317,68.203125,7295.890625,56,54
7,0.9028754319062141,0.827736670424909,0.9930177787279819,70.90322580645162,7544.806451612903,74,54
8,0.9058927185206112,0.8654409865385762,0.950311393372044,63.90909090909091,6362.272727272727,43,54
9,0.8801138494860354,0.8590613807973753,0.9022240788535689,61.95833333333333,5690.041666666666,71,54
